,Y,Text
4767,NUM:count,How many U.S. presidents were assassinated during Queen Victoria 's 
4768,NUM:date,When was the first flush toilet invented ?   
4769,HUM:ind,What is Nathan Hamill 's role in the new Star 
4770,NUM:count,How many disks does each player have in a four-handed 
4771,NUM:period,How old is the sun ?     
4772,NUM:perc,What percentage of children between the ages of two and 
4773,DESC:manner,"How can I find a list of , fax and "
4774,DESC:manner,How do I write to my Congressman ?   
4775,NUM:count,How many years ago did Led Zeppelin release its last 
4776,ENTY:termeq,What is the term for a group of geese ? 
4777,NUM:count,How many people was Randy Craft convicted of killing ? 
4778,ENTY:event,What was the name of the famous battle between Texas 
4779,LOC:country,What country are you in if you woo in the 
4780,ENTY:termeq,What do you call a Poker hand with five cards 
4781,HUM:ind,What New York Yankee was known as The Iron Horse 
4782,HUM:ind,Who is considered The First Lady of the American Stage 
4783,HUM:ind,Who penned : `` Neither a borrower nor a lender 
4784,DESC:def,What is moxie ?       
4785,ENTY:cremat,What was the first Sam Spade novel ?   
4786,ENTY:cremat,What song did Patti Page set people dancing to in 
4787,HUM:ind,Who headed Hitler 's infamous Gestapo ?    
4788,LOC:city,What South American city features the exclusive Copacabana Beach and 
4789,LOC:city,What German city do Italians call The Monaco of Bavaria 
4790,LOC:other,"What island group contains Jersey , Guernsey , Sark and "
4791,ENTY:dismed,What is a fear of strong light ?   
4792,HUM:ind,What is a person called that likes fire ?  
4793,LOC:other,"Where was helium first discovered , hence its name ? "
4794,ENTY:techmeth,What is the best way to overcome a fear ? 
4795,HUM:gr,Name a South African diamond producer ?    
4796,HUM:ind,Who made the musical plea Be True to Your School 
4797,HUM:ind,What French designer declared : `` The jean is the 
4798,NUM:date,What season is the setting for Shakespeare 's Midsummer Night 
4799,HUM:gr,Name a band which was famous in the 1960 's 
4800,HUM:ind,What comedian was banned from the Ed Sullivan Show for 
4801,LOC:country,What country is the setting for Edgar Allan Poe 's 
4802,HUM:ind,What Apollo 11 astronaut minded the store while Armstrong and 
4803,NUM:money,What is the current ticket fare from from Cairo to 
4804,LOC:mount,What is the second highest mountain peak in the world 
4805,HUM:ind,What Good Little Witch is Casper 's girlfriend ?  
4806,ENTY:cremat,In which Tennessee Williams play is one of the characters 
4807,HUM:ind,"What was the nickname of Frederick I , Holy Roman "
4808,ENTY:event,What war did the Potsdam Conference follow ?   
4809,ENTY:dismed,What 's the most common non-contagious disease in the world 
4810,NUM:date,"What month , date , and year did Charles I "
4811,NUM:count,How many cubic feet of space does a gallon of 
4812,DESC:def,What is the hair style called that new military recruits 
4813,LOC:other,What 's the world 's largest cathedral ?   
4814,DESC:desc,What effects do nitrates have on the environment ?  
4815,DESC:def,What is Nitrox diving ?      
4816,LOC:country,What three European countries begin with the letter A ? 
4817,DESC:desc,What happened in the Long March ?    
4818,ENTY:event,What was the name of Hitler 's unsuccessful attempt to 
4819,DESC:manner,How can I find online spelling ?    
4820,NUM:count,How many earthworms are in a single pasture ?  
4821,HUM:ind,Who made Stonehenge ?       
4822,NUM:other,What is the average hourly rate of American workers ? 
4823,ENTY:sport,What sport features snatches and clean jerks ?   
4824,HUM:ind,Who 's the founder and editor of The National Review 
4825,NUM:date,In what year did they build the Berlin Wall ? 
4826,HUM:ind,Who was the first governor of West Virginia ?  
4827,LOC:other,What 's the world 's longest suspension bridge ?  
4828,LOC:city,What Asian city boasts the world 's biggest bowling alley 
4829,NUM:date,When will Jean Aeul publish her next book ?  
4830,HUM:ind,"What famous soldier was born in Europe , died in "
4831,ENTY:food,"When it 's time to relax , what one beer "
4832,HUM:gr,What culture developed the idea of potlatch ?   
4833,HUM:gr,What baseball team became the Minnesota Twins ?   
4834,ENTY:instru,What kind of guitar did Jimi Hendrix play ?  
4835,LOC:city,What were the first three cities to have a population 
4836,LOC:other,What constellation contains the twins Castor and Pollux ?  
4837,NUM:count,How many meters are in a mile ?   
4838,DESC:def,What is a gas release event ?    
4839,ENTY:cremat,What James Michener book is subtitled Spanish Travels and Reflections 
4840,LOC:other,What famed London criminal court was once a feudal castle 
4841,NUM:count,How many milligrams are in a gram ?   
4842,ENTY:other,What stringed weapon fires a bolt ?    
4843,LOC:other,Where did he get the title ?    
4844,LOC:other,Where can I find a large list of 5 to 
4845,HUM:ind,What is Michael Jackson 's middle name ?   
4846,HUM:ind,Who was the first woman to fly solo across the 
4847,NUM:period,How long is human gestation ?     
4848,DESC:def,What does `` Semper Fidelis '' mean ?   
4849,ENTY:product,What kind of suit did true hepcats wear in 1942 
4850,LOC:other,Where does Mother Angelica live ?     
4851,DESC:manner,How can I find out my Moon sign ?  
4852,DESC:reason,Why does a candle need a wick ?   
4853,ENTY:instru,Musician Ray Charles plays what instrument ?    
4854,DESC:desc,What were the three prophecies the witches make to Macbeth 
4855,NUM:other,What 's the population of Mississippi ?    
4856,HUM:ind,Who started the Dominos Pizza chain ?    
4857,ENTY:cremat,In what film did Steven Spielberg 's dog star as 
4858,ENTY:dismed,What are all the different kinds of contraceptives ?  
4859,NUM:period,How old is Jeremy Piven ?     
4860,DESC:desc,What is the history of yo-yos ?    
4861,HUM:ind,Which NBA players had jersey number 0 ?   
4862,HUM:gr,What chocolate company gives you a one-pound kiss ?  
4863,DESC:manner,How does one correctly pronounce ` qigong ' ?  
4864,ENTY:other,What fossilizes to form coprolite ?     
4865,NUM:count,How many colored squares are there on a Rubik 's 
4866,LOC:other,Where is the Mayo Clinic ?     
4867,LOC:other,What Caribbean island is sometimes called Little England ?  
4868,LOC:other,Where is Amsterdam ?       
4869,LOC:other,Where can I find the lyrics for the song ` 
4870,ENTY:word,What 's another word that means `` knows all '' 
4871,HUM:ind,Who is the famous movie star who also acted as 
4872,LOC:city,What Australian city became the home of the America 's 
4873,ENTY:termeq,Aspartame is known by what other name ?   
4874,DESC:def,What is pasta ?       
4875,HUM:ind,Name Randy Craft 's lawyer .     
4876,ENTY:color,What color is `` ash '' ?    
4877,HUM:gr,What is the best distance education university or college ? 
4878,LOC:other,What river does the Grand Coulee Dam dam ?  
4879,NUM:other,How often are quadruplets born ?     
4880,DESC:manner,How does psorisis disappear ?      
4881,NUM:count,How many presidents have died on the 4th of July 
4882,ENTY:color,What three colors are on the French flag ?  
4883,DESC:desc,What 's the mystery of the Bermuda Triangle ?  
4884,ENTY:other,What are the seven wonders of the world ?  
4885,ABBR:exp,What does CNN stand for ?     
4886,HUM:ind,What is a person called that likes fire ?  
4887,HUM:ind,Who portrayed Vincent Van Gogh in Lust for Life ? 
4888,ENTY:other,What constitutes an adult ?      
4889,LOC:other,What is a reliable site that I can download Heretic 
4890,DESC:def,What is a neurosurgeon ?      
4891,ENTY:sport,"What baseball outcome required nine balls in 1879 , eight "
4892,DESC:def,What are amaretto biscuits ?      
4893,ENTY:dismed,What common ailment can 't you catch at the North 
4894,NUM:date,What season begins with the vernal equinox ?   
4895,HUM:ind,Who was known as the Time Master in comic books 
4896,ENTY:animal,What was the name of Roy Rogers 's dog ? 
4897,ENTY:cremat,What TV series changed the names to protect the innocent 
4898,LOC:other,Where did cable cars first roll down Clay Street in 
4899,LOC:other,What is George Lucas 's e-mail address ?   
4900,DESC:manner,How do I give a good massage ?   
4901,HUM:ind,Who is the father of the computer ?   
4902,DESC:desc,What is the origin of `` jiggy '' as in 
4903,DESC:desc,What is the origin of a.m. and p.m. ?  
4904,DESC:def,What is the definition of cosmology ?    
4905,ENTY:animal,What is the name of the dog on the Cracker 
4906,DESC:def,What are manifest and latent function theories ?   
4907,ENTY:cremat,What William Styron book is about a black preacher who 
4908,ENTY:symbol,What is the chemical symbol for nitrogen ?   
4909,HUM:ind,Who said : `` Old soldiers never die ; they 
4910,HUM:gr,What National League baseball team employed 72 third baseemen in 
4911,DESC:def,What are snowballs to a hot-rodder ?    
4912,NUM:dist,How long were Tyrannosaurus Rex 's teeth ?   
4913,DESC:desc,What is the origin of the word Ozymandias ?  
4914,HUM:ind,Who 's the only man to have won the Olympic 
4915,LOC:city,What Kenyan city is the safari center for East Africa 
4916,DESC:reason,Why do men snore ?      
4917,DESC:reason,What causes `` rolling thunder '' ?    
4918,HUM:ind,What is the name of Miss India 1994 ?  
4919,LOC:state,What four U.S. states have active volcanoes ?   
4920,DESC:desc,What 's the setting of John Le Carre 's A 
4921,DESC:desc,What does an echidna look like ?    
4922,DESC:desc,What is the secret of the universe ?   
4923,HUM:ind,Who was the second man to walk on the moon 
4924,HUM:ind,What major Victorian novelist spent as much time working for 
4925,DESC:reason,What caused an adjournment of the 25th anniversary session of 
4926,HUM:gr,The major league baseball team in Pittsburgh is called what 
4927,ENTY:termeq,What is the name of the Islamic counterpart to the 
4928,NUM:date,What year were the Olympic Games played in where Nadia 
4929,ENTY:substance,What is glass made of ?     
4930,DESC:manner,How did Lee Harvey Oswald purchase his rifle ?  
4931,DESC:manner,How do I sing like Elvis Presley ?   
4932,LOC:other,What are the biggest Indian airports ?    
4933,ENTY:cremat,What is the folklore story regarding birds ' nests and 
4934,LOC:other,"What are the world 's three largest oceans , in "
4935,HUM:ind,Who is the Pope ?      
4936,LOC:other,Where on the Internet can I find information on laundry 
4937,ENTY:termeq,What do the French call La Manche ?   
4938,ENTY:techmeth,What 's an easy way to count the approximate number 
4939,DESC:manner,How do you clean up a cache ?   
4940,ENTY:veh,What was the name of Aristotle Onassis 's yacht ? 
4941,ENTY:dismed,What is a fear of being dirty ?   
4942,ENTY:animal,What animal occurs in Spielberg 's `` Jaws '' ? 
4943,DESC:def,What 's the Red Planet ?     
4944,NUM:count,The Shea & Gould law firm had an office in 
4945,HUM:ind,What 's the most common surname in America ?  
4946,NUM:period,How long does it take the typical American to eat 
4947,DESC:desc,What is the difference between a fruit and a vegetable 
4948,ENTY:plant,What kind of tree graces Lebanon 's flag ?  
4949,DESC:def,What is tumbled marble ?      
4950,ENTY:techmeth,What are the various ways in which one can measure 
4951,LOC:city,What city is sometimes called The Athens of Switzerland ? 
4952,LOC:other,Where did bocci originate ?      
4953,DESC:manner,How does light travel through the void of space if 
4954,DESC:def,What are the Valdez Principles ?     
4955,DESC:manner,How can I easily remove red wine stains from t-shirts 
4956,DESC:manner,How do you write MLA style bibliographies for an Internet 
4957,HUM:desc,Who is Imam Hussain Ben Ali whom Shia people believe 
4958,DESC:desc,What is the origin of the word assassinate ?  
4959,LOC:other,"Where can I find information about Bob Barr , representative "
4960,NUM:other,What is the frequency of VHF ?    
4961,DESC:desc,What are the Arabic Numerals from 1 to 10 ? 
4962,ENTY:other,What does the policeman become in the Canadian edition of 
4963,NUM:count,How many electoral votes does it take to win presidency 
4964,DESC:def,What is digitalis ?       
4965,ENTY:plant,What kind of flowers does detective Nero Wolfe raise ? 
4966,ENTY:substance,What was paper made of in the late 16th century 
4967,HUM:desc,Who was William Henry Harrison ?     
4968,DESC:desc,What was the outcome of the 1945 Yalta Conference ? 
4969,DESC:def,What is `` flintknapping '' ?     
4970,ENTY:color,What 's the most popular contact lens color ?  
4971,LOC:city,What were the cities of Dickens 's A Tale of 
4972,DESC:reason,What causes canker sores in the mouth ?   
4973,NUM:date,In what year was the movie the Ten Commandments released 
4974,ENTY:animal,What is the fastest fish in the world ?  
4975,ENTY:color,What color are the castellated walls of the Kremlin ? 
4976,ENTY:event,What is celebrated during the week of February 21-27 ? 
4977,ENTY:other,What is damage to business and government caused by bureaucracy 
4978,LOC:country,What countries have the best math students ?   
4979,NUM:date,When was the De Beers company founded ?   
4980,ENTY:cremat,What was a California prayer book to an Old West 
4981,HUM:ind,Who was the first black performer to have his own 
4982,ENTY:termeq,What 's another name for aspartame ?    
4983,DESC:desc,What did John F. Kennedy consider his greatest blunder in 
4984,ABBR:abb,What 's the abbreviation for trinitrotoluene ?    
4985,ENTY:animal,What creature is the absolute fastest in moving in the 
4986,NUM:date,What is the date of Bastille Day ?   
4987,ABBR:exp,What is IOC an abbreviation of ?    
4988,DESC:reason,What 's the proud claim to fame of the young 
4989,ENTY:product,Which two products use a tiger as their symbol ? 
4990,LOC:other,"Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer "
4991,ENTY:color,What color eyes are most sensitive to light ?  
4992,NUM:count,How much folic acid should an expectant mother get daily 
4993,HUM:gr,What company uses the unfamiliar faces of its celebrity spokespeople 
4994,ENTY:dismed,What disease does Katharine Hepburn have that makes her voice 
4995,DESC:desc,What did FCC chairman Newton Minow declare TV to be 
4996,NUM:count,How much caffeine is in a 16 oz cup of 
4997,ENTY:termeq,What is the name of the art of growing miniature 
4998,LOC:country,What two countries in South America are landlocked ?  
4999,DESC:def,What does Tiffany mean ?      
5000,DESC:reason,Why do magnets attract ?      
5001,DESC:manner,How do you address a Chinese person ?   
5002,DESC:def,What is the meaning of thalassemia ?    
5003,NUM:code,What is Columbia Tristar 's phone number ?   
5004,DESC:manner,How do I impress a guy ?    
5005,ENTY:techmeth,What does the method called `` cold fusion '' create 
5006,NUM:date,When did Princess Diana and Prince Charles get married ? 
5007,ENTY:other,What determines the value of the pearl ?   
5008,LOC:country,Which country did Hitler rule ?     
5009,ENTY:veh,What was the name of the American ship sunk by 
5010,HUM:ind,Who directed The Wild Bunch ?     
5011,ENTY:other,What are emblazoned on the Jolly Roger ?   
5012,LOC:city,The Orange Bowl is in what city ?   
5013,DESC:def,What are the alveoli ?      
5014,HUM:ind,What comedian was born Allen Stewart Konigsberg ?   
5015,NUM:count,How many Leos have been Pope ?    
5016,LOC:state,What state was Herbert Hoover born in ?   
5017,ENTY:cremat,"What TV series featured Neal , a martini-drinking St. Bernard "
5018,ENTY:other,What developed a crack in 1835 while tolling the death 
5019,NUM:count,How many fiddlers did Old King Cole have ?  
5020,HUM:ind,What poet wrote : `` ... I have promises to 
5021,DESC:def,What is ethylene ?       
5022,ENTY:cremat,What Irwin Allen bomb has Richard Widmark saying he 'll 
5023,ENTY:dismed,What is a fear of clouds ?    
5024,ENTY:cremat,What is the music used in the new VW Beetle 
5025,ENTY:dismed,What is a fear of pregnancy ?    
5026,NUM:count,What is the population in India ?    
5027,DESC:desc,What is the origin of the word `` pallbearer ? 
5028,NUM:period,How long do flies live ?     
5029,DESC:reason,Why is Microsoft 's Windows 3 software so successful ? 
5030,HUM:ind,Who runs Andy Capp 's favorite pub ?   
5031,LOC:state,What state produces the best lobster to eat ?  
5032,NUM:count,How many times a day does the typical person go 
5033,ENTY:sport,What bowl game began as an East-West contest between Michigan 
5034,LOC:other,What islands got their name from the Spanish baja mar 
5035,DESC:def,"What is deadrise , nautical , ?    "
5036,ENTY:lang,What 's the official language of Algeria ?   
5037,ENTY:other,What took first prize in Omni magazine 's contest to 
5038,ENTY:word,What six words follow the line : `` From a 
5039,DESC:manner,How do I find a city if I have the 
5040,HUM:ind,What author of the Days of Our Lives Cookbook signed 
5041,ENTY:food,What foods contain the most protein ?    
5042,HUM:ind,What President was assassinated by Charles J. Guiteau ?  
5043,HUM:ind,What comic of TV 's golden age went by the 
5044,NUM:count,How many feet long is a baseball pitcher 's rubber 
5045,LOC:country,What was the nationality of Jackson Pollock ?   
5046,HUM:ind,Who invented the game bowling ?     
5047,ENTY:animal,What are the snakes of New England ?   
5048,NUM:count,How many times larger than life size is the Statue 
5049,LOC:country,What is the name of the country which Hitler ruled 
5050,HUM:gr,What group kidnaped Patricia Hearst ?     
5051,NUM:period,How long does a human live ?    
5052,LOC:other,Where can I get U.S. economic statistics ?   
5053,NUM:count,How many Superbowls have the ers won ?   
5054,DESC:desc,What do you do when your mouse is n't working 
5055,DESC:def,What is a gandy dancer ?     
5056,HUM:ind,Who is the creator of `` The Muppets '' ? 
5057,HUM:ind,Which of the following celebrities started his show-biz career as 
5058,ENTY:animal,What Triple Crown-winning horse took the 1973 Belmont Stakes by 
5059,NUM:other,What 's a perfect score in a gymnastics exercise ? 
5060,ENTY:termeq,What is the dot on an the letter i called 
5061,LOC:city,What 's the capital of Iowa ?    
5062,HUM:ind,Who asked you to do the Loco-Motion with her in 
5063,DESC:def,What 's the rathaus in Frankfurt ?    
5064,HUM:ind,"What President served for five years , six months and "
5065,ENTY:termeq,What do you call the feeling of having experienced something 
5066,DESC:reason,What incident caused the canning of a summit conference between 
5067,ABBR:abb,What is the abbreviated form of the National Bureau of 
5068,ENTY:dismed,"What is a fear of odors , body , ? "
5069,ENTY:techmeth,What is the formula to calculate pi ?   
5070,DESC:desc,What is the difference between a bachelor and a 1 
5071,HUM:ind,What is Drew Barrymore 's middle name ?   
5072,DESC:manner,How do you write a book report ?   
5073,DESC:def,"What are Cobol , Fortran , and Pascal ?  "
5074,HUM:ind,What is Supergirl 's secret identity ?    
5075,LOC:other,What is the US Federal Government website for Standard Industrial 
5076,HUM:gr,What court does Bob Woodward describe in The Brethren ? 
5077,HUM:ind,Who made the first surfboard ?     
5078,HUM:ind,What is the name of the police officer who tried 
5079,NUM:date,On what date did Rosa Parks Become a symbol of 
5080,NUM:perc,What are the highest-paying odds on a roulette table ? 
5081,NUM:date,In what year did the US Marine Corps adopt the 
5082,NUM:count,How many films did Ingmar Bergman make ?   
5083,ENTY:other,What does a deltiologist collect ?     
5084,DESC:reason,What is Garry Kasparov famous for ?    
5085,ABBR:exp,What does the `` c '' stand for in the 
5086,HUM:ind,Who is the Greek God of the Sea ?  
5087,HUM:ind,What well-known music personality is the father of an adopted 
5088,DESC:manner,How do you measure the heat of the sun ? 
5089,DESC:reason,Why do some people have two different color eyes ? 
5090,ENTY:body,Which leg does a cat move with its left front 
5091,NUM:date,When was the first Barbie produced ?    
5092,ENTY:substance,What 's the hardest substance in the human body ? 
5093,HUM:ind,Who was the first woman governor of Wyoming ?  
5094,NUM:count,How many more weeks of winter are there if a 
5095,HUM:ind,What Green Bay Packers coach philosophized : `` There 's 
5096,DESC:manner,How do birds find their way back to the same 
5097,LOC:other,Where is the Henry Ford Museum ?    
5098,ENTY:cremat,Name a film that has won the Golden Bear in 
5099,ENTY:termeq,What 's the International Lawn Tennis Challenge Trophy usually called 
5100,NUM:date,What year did nylon stockings first go on sale ? 
5101,ENTY:sport,What is a research expedition in mountain climbing ?  
5102,ENTY:veh,On which flight did Fawaz Younis commit air piracy and 
5103,LOC:city,What are the 10 largest cities in the US ? 
5104,DESC:def,What is a wart ?      
5105,DESC:def,What is spaceball played on ?     
5106,DESC:manner,How does rabies spread ?      
5107,HUM:ind,What famous comedian recently tried without success to revive the 
5108,LOC:other,What is Drew Barrymore 's email address ?   
5109,DESC:manner,How can you tell if someone is lying ?  
5110,DESC:desc,What is the difference between a preface and a foreword 
5111,ENTY:substance,What are fingernails made of ?     
5112,LOC:country,What nationality were the 123 people who died in the 
5113,DESC:def,What does storm wave mean in Japanese ?   
5114,DESC:reason,Why do they sterilize the needle for lethal injection ? 
5115,HUM:ind,What TV family sometimes buys eclairs from Nelson 's Bakery 
5116,DESC:manner,How can you get rust stains out of clothing ? 
5117,DESC:manner,How does a small businessman contact the Good Humor Ice 
5118,HUM:ind,What enigmatic U.S. vice president was once tried and acquitted 
5119,HUM:ind,Who was Charles Lindbergh 's wife ?    
5120,HUM:ind,Who sings Angel Eyes from the 80 's ?  
5121,NUM:date,When did the Jurassic Period end ?    
5122,ENTY:other,What is the one thing you need before you can 
5123,DESC:reason,What caused the Titanic to sink ?    
5124,DESC:def,What is the chemiosmotic theory ?     
5125,HUM:desc,What information can you tell me about actor James Cromwell 
5126,DESC:manner,How does an ion drive work ?    
5127,DESC:manner,How can I trace my family roots ?   
5128,NUM:date,What was the date of Iraq 's invasion of Kuwait 
5129,ENTY:word,What is another word for diet ?    
5130,DESC:def,What is a courier ?      
5131,ENTY:cremat,What Sinatra hit did he dooby dooby do in ? 
5132,DESC:manner,How do you get a girl to have sex with 
5133,ENTY:other,What award is the `` Oscar '' of advertising ? 
5134,LOC:other,What is the name of the planet that the Ewoks 
5135,ENTY:food,What ice creams contain seaweed ?     
5136,HUM:ind,What dumb-but-loveable character did Maurice Gosfield play on The Phil 
5137,ABBR:exp,What is a `` USB '' port on a computer 
5138,ENTY:termeq,What term means a sexual attraction between a male and 
5139,HUM:gr,What was called the world 's largest department store ? 
5140,LOC:other,What sea surrounds the Cayman Islands ?    
5141,NUM:count,How many different vegetation zones are there ?   
5142,ABBR:exp,What does LOL mean ?      
5143,LOC:other,What ocean was Amelia Earhart flying over when she disappeared 
5144,ENTY:cremat,What book does Holden Caulfield appear in ?   
5145,DESC:desc,What happens when lightning strikes a body of water ? 
5146,HUM:ind,What was the nickname of German flying ace Manfred von 
5147,DESC:def,What does e=mc2 mean ?      
5148,LOC:country,What country other than Germany invaded Poland in September 1939 
5149,DESC:manner,How do I contact answers.com ?     
5150,ENTY:body,What are the names of the different toes ?  
5151,ENTY:product,What are different products of petroleum ?    
5152,DESC:reason,What causes asthma ?       
5153,NUM:date,When was the Bill of Rights ratified ?   
5154,DESC:def,"What do the number 1 , 2 , and 4 "
5155,LOC:state,What is the largest U.S. state east of the Mississippi 
5156,DESC:manner,How can I find out how much it costs to 
5157,NUM:other,"What 's the population of Biloxi , Mississippi ?  "
5158,ENTY:letter,What vowel do all Esperanto nouns end in ?  
5159,DESC:def,What is a heuristic ?      
5160,LOC:other,What California desert is dubbed High Desert ?   
5161,ENTY:animal,"In the Miller Lite TV commercial , who is the "
5162,HUM:ind,Who wrote ` Hamlet ' ?     
5163,DESC:manner,How did the jack-o '-lantern get it 's name ? 
5164,DESC:reason,Why can 't ostriches fly ?     
5165,LOC:other,Where do the Blackhawks maintain their operations ?   
5166,DESC:reason,Why are the rooftops in Canada green ?   
5167,LOC:country,What African country was founded by freed American slaves in 
5168,NUM:date,What year did the first issue of `` Playboy '' 
5169,LOC:city,The Orange Bowl is located in what city ?  
5170,ENTY:dismed,What is a fear of motion ?    
5171,HUM:ind,What pseudonym did William Sydney Porter use in writing The 
5172,ENTY:dismed,What is a fear of glass ?    
5173,DESC:desc,"In Waugh 's `` A Handful of Dust , '' "
5174,HUM:ind,What is the last name of Lucy and Linus from 
5175,HUM:ind,What cheery fellow got the ZIP code 9971 from the 
5176,NUM:count,How many layers does a bottle of Yoo-Hoo settle into 
5177,HUM:gr,Name Pittsburgh 's baseball team .     
5178,LOC:other,What 's the nearest star to Earth ?   
5179,LOC:other,Where is Inoco based ?      
5180,ENTY:termeq,What does El Nino mean in spanish ?   
5181,DESC:desc,What does Choo Choo Charlie say ?    
5182,DESC:manner,How do I register a trade name in North Carolina 
5183,NUM:count,What was the number of assassinations and attempts to assassinate 
5184,NUM:count,How many stations do you shoot from in the basketball 
5185,DESC:def,What is a Jake brake ?     
5186,ENTY:symbol,What sign is the best love match for a horoscope 
5187,HUM:ind,Who was the Russian ambassador to Hungary during the 1956 
5188,HUM:ind,Who holds the NFL record for most touchdowns in a 
5189,ENTY:other,What cards are bullets ?      
5190,NUM:period,What is the average age a horse lives ?  
5191,LOC:other,"What planet would you visit to see Bebrenia , Arcadia "
5192,ENTY:lang,Which language has the most words ?    
5193,LOC:other,Where is Natick ?       
5194,ENTY:cremat,What J.R.R. Tolkien book features Gimli as a central character 
5195,ENTY:product,What brand of white rum is still made in Cuba 
5196,HUM:desc,Who is Shirley MacLaine ?      
5197,HUM:gr,What business exports the sparkling wine Spumante ?   
5198,ENTY:dismed,What is a fear of water ?    
5199,DESC:def,What does the number 33 on the Rolling Rock beer 
5200,DESC:desc,What is the origin of the city `` Corpus Christi 
5201,HUM:ind,Who wrote ` The Pines of Rome ' ?  
5202,LOC:other,Where is the Valley of the Kings ?   
5203,HUM:gr,What was the first U.S.-based team in the NHL ? 
5204,LOC:other,Where did the sport of caber-tossing originate ?   
5205,HUM:ind,"Who played for the Chicago Bears , Houston Oilers and "
5206,LOC:other,Where are the Union Stockyards ?     
5207,LOC:other,Where does the weird shape of the dinner fish knife 
5208,NUM:count,How many children does Ray Davies of the Kinks have 
5209,NUM:count,How many years did Shea & Gould practice law in 
5210,ENTY:other,What did Walter Huston remove to perform in the movie 
5211,NUM:count,How much salt is in the oceans ?   
5212,HUM:ind,Who leads the star ship Enterprise in Star Trek ? 
5213,ENTY:animal,What animals acted as lapwarmers for American colonists in church 
5214,HUM:ind,Who won World War II ?     
5215,DESC:desc,Where does `` bovine '' come from ?   
5216,LOC:other,Where does the U.S. get most of its energy ? 
5217,LOC:country,"What country , after Canada and Mexico , is closest "
5218,ENTY:body,What is the weakest bone in the body ?  
5219,DESC:def,What is dew point ?      
5220,HUM:ind,Who was Garrett Morgan married to ?    
5221,HUM:ind,What was the name of Darth Vader 's son ? 
5222,NUM:count,How many stars are there in Big Dipper ?  
5223,DESC:manner,How do you become a dentist ?    
5224,HUM:desc,Who is Ishmael in Moby Dick ?    
5225,NUM:count,How many wings does a flea have ?   
5226,LOC:country,What country has been called The Queen of the Antilles 
5227,LOC:other,Where can I find a website that gives comparisons of 
5228,NUM:other,What is the population of Mozambique ?    
5229,DESC:def,What is multimedia ?       
5230,LOC:state,What state has the most Indians ?    
5231,DESC:desc,What is the difference between terry cloth and French terry 
5232,NUM:dist,How long is Camptown Racetrack ?     
5233,HUM:ind,Name the two blob members of the animated Herculoids . 
5234,LOC:other,Where did Luther display his `` Ninety-Five Theses '' ? 
5235,DESC:def,What are `` inkhorn terms '' ?    
5236,DESC:desc,What is the difference between pop music and rock and 
5237,LOC:other,What river is Pocahontas buried along ?    
5238,DESC:def,What does hazmat stand for ?     
5239,DESC:def,What is `` bloodhound '' ?     
5240,NUM:count,"How many miles is it from London , England to "
5241,ENTY:animal,What was Paul Bunyan 's ox 's name ?  
5242,ENTY:other,What trophy is awarded to the winners of the Super 
5243,LOC:other,Where is Dartmouth College ?      
5244,HUM:ind,What well-known TV talk show host was a lay preacher 
5245,DESC:desc,What are the environmental influences on plant genetics ?  
5246,HUM:ind,What one of the Backstreet Boys are single ?  
5247,NUM:count,How many people was Randy Craft convicted of murdering ? 
5248,LOC:other,"What river flows through Vienna , Budapest and Belgrade ? "
5249,HUM:ind,What Civil War general wreaked havoc on the south by 
5250,HUM:ind,Who was the conservationist who served as spokesperson for Post 
5251,DESC:def,What is carpal tunnel syndrome ?     
5252,ABBR:exp,What does IOC stand for ?     
5253,LOC:other,Which area produces the least acidic coffee ?   
5254,DESC:reason,Why is it called `` hamburger '' if there is 
5255,ENTY:symbol,What is the trademark of a Washington Redskin 's fan 
5256,DESC:reason,Why does cotton get caught in belly buttons ?  
5257,HUM:ind,What suburban housewife and mother of three wrote The Feminine 
5258,DESC:manner,How does a glacier form ?     
5259,NUM:date,On which date is the Ukrainians ' Christmas ?  
5260,LOC:city,What is the largest city in the world ?  
5261,ENTY:sport,What famed tennis tournament 's men 's singles title was 
5262,HUM:desc,Who was Whitcomb Judson ?      
5263,NUM:weight,What is the average weight for a man ?  
5264,LOC:other,What are Britain 's two longest rivers ?   
5265,LOC:country,"What country covers 8 , 600 , 387 square miles "
5266,ENTY:substance,What fuel do airplanes use ?     
5267,HUM:ind,Name a canine cartoon character other than Huckleberry Hound to 
5268,DESC:def,What does palindromic mean ?      
5269,DESC:desc,What baseball expression came from the nautical term for ships 
5270,LOC:state,In which state are the Mark Twain National Forests ? 
5271,LOC:other,What is the oldest ethnological museum in the world ? 
5272,DESC:manner,How does Belle describe her life in Beauty and the 
5273,ENTY:color,What color flies closest to the staff on Belgium 's 
5274,ENTY:other,What is the smallest thing seen under the most powerful 
5275,ENTY:body,Which ear can most people hear better with ?  
5276,LOC:other,Where have the most dinosaur remains been found ?  
5277,ENTY:letter,What letter appears on the cold-water tap in Spain ? 
5278,ENTY:termeq,How do you say `` Grandma '' in Irish ? 
5279,HUM:ind,Who shoplifts ?        
5280,ENTY:substance,What is a camel hair brush actually made out of 
5281,DESC:def,What is the Socratic method ?     
5282,LOC:other,What island has a park called The Battery at is 
5283,DESC:def,What is hypertext ?       
5284,NUM:money,How much is Clara Peller being paid by Wendy 's 
5285,DESC:desc,What do I need to learn to design web pages 
